"scenario","n","effect","confounded","depth_confound","m_min","m_abund","abund_logN_adjusted","abund_HC3_t","method","raw_power","raw_fpr","raw_nrej","bh_power","bh_fdr","bh_nrej","nFeat","nSignal","obsZero","structZero","n_na_p","n_rep"
"abundance",160,0.8,FALSE,TRUE,3,5,TRUE,TRUE,"presence(logistic+depth+z)",0.07,0.0454609929078014,7.74,0.000526315789473684,0.03,0.04,160,19,0.3151796875,0.276932421875,0,100
"abundance",160,0.8,FALSE,TRUE,3,5,TRUE,TRUE,"prevalence(Tobit).adj",0.11,0.0545390070921986,9.78,0.00105263157894737,0.03,0.05,160,19,0.3151796875,0.276932421875,0,100
"abundance",160,0.8,FALSE,TRUE,3,5,TRUE,TRUE,"prevalence(Tobit).noAdj",0.142631578947368,0.0581560283687943,10.91,0.00421052631578947,0.04,0.12,160,19,0.3151796875,0.276932421875,0,100
"abundance",160,0.8,TRUE,TRUE,3,5,TRUE,TRUE,"abundance(AHC-LinDA).adj",0.736842105263158,0.0526950354609929,21.43,0.386315789473684,0.0441798201798202,7.76,160,19,0.315936328125,0.27699609375,0,100
"abundance",160,0.8,TRUE,TRUE,3,5,TRUE,TRUE,"abundance(AHC-LinDA).noAdj",0.68,0.170992907801418,37.03,0.453157894736842,0.386780929436151,16.42,160,19,0.315936328125,0.27699609375,0,100
"abundance",160,0.8,TRUE,TRUE,3,5,TRUE,TRUE,"obsTwo.depthCov",0.723157894736842,0.0485815602836879,20.59,0.345263157894737,0.0398428238428238,6.89,160,19,0.315936328125,0.27699609375,0,100
"abundance",160,0.8,TRUE,TRUE,3,5,TRUE,TRUE,"obsTwo.simple",0.741052631578947,0.306737588652482,57.33,0.676842105263158,0.627157564113771,37.32,160,19,0.315936328125,0.27699609375,0,100
"abundance",160,0.8,TRUE,TRUE,3,5,TRUE,TRUE,"OMNIBUS(ACAT).adj",0.668421052631579,0.0535460992907801,20.25,0.296842105263158,0.0388297258297258,5.89,160,19,0.315936328125,0.27699609375,0,100
"abundance",160,0.8,TRUE,TRUE,3,5,TRUE,TRUE,"OMNIBUS(ACAT).noAdj",0.67578947368421,0.219645390070922,43.81,0.448947368421053,0.476106293636067,18.9,160,19,0.315936328125,0.27699609375,0,100
"abundance",160,0.8,TRUE,TRUE,3,5,TRUE,TRUE,"OMNIBUS(Bonf-minP).adj",0.657894736842105,0.0524113475177305,19.89,0.294210526315789,0.0403650793650794,5.85,160,19,0.315936328125,0.27699609375,0,100
"abundance",160,0.8,TRUE,TRUE,3,5,TRUE,TRUE,"OMNIBUS(Bonf-minP).noAdj",0.667894736842105,0.212482269503546,42.65,0.444736842105263,0.470749226914736,18.49,160,19,0.315936328125,0.27699609375,0,100
"abundance",160,0.8,TRUE,TRUE,3,5,TRUE,TRUE,"oracle.prev.cov",0.04,0.0447517730496454,7.07,0,0.02,0.02,160,19,0.315936328125,0.27699609375,0,100
"abundance",160,0.8,TRUE,TRUE,3,5,TRUE,TRUE,"oracle.prev.noAdj",0.141052631578947,0.132978723404255,21.43,0.0168421052631579,0.554337912087912,2.5,160,19,0.315936328125,0.27699609375,0.41,100
"abundance",160,0.8,TRUE,TRUE,3,5,TRUE,TRUE,"pkg.ANCOMBC.cov",0.976315789473684,0.107304964539007,33.68,0.911578947368421,0.211513185975219,22.3,160,19,0.315936328125,0.27699609375,0,100
"abundance",160,0.8,TRUE,TRUE,3,5,TRUE,TRUE,"pkg.ANCOMBC.noAdj",0.86421052631579,0.302127659574468,59.02,0.805263157894737,0.608707517415334,41.83,160,19,0.315936328125,0.27699609375,0,100
"abundance",160,0.8,TRUE,TRUE,3,5,TRUE,TRUE,"pkg.DESeq2.cov",0.821578947368421,0.0373758865248227,20.88,0.495789473684211,0.0266332123758594,9.7,160,19,0.315936328125,0.27699609375,0,100
"abundance",160,0.8,TRUE,TRUE,3,5,TRUE,TRUE,"pkg.DESeq2.noAdj",0.773684210526316,0.217801418439716,45.41,0.635789473684211,0.52167880004216,26.5,160,19,0.315936328125,0.27699609375,0,100
"abundance",160,0.8,TRUE,TRUE,3,5,TRUE,TRUE,"pkg.edgeR.cov",0.823684210526316,0.0364539007092199,20.79,0.478947368421053,0.0145606060606061,9.25,160,19,0.315936328125,0.27699609375,0,100
"abundance",160,0.8,TRUE,TRUE,3,5,TRUE,TRUE,"pkg.edgeR.noAdj",0.782631578947368,0.21354609929078,44.98,0.638947368421053,0.492864396060622,25.3,160,19,0.315936328125,0.27699609375,0,100
"abundance",160,0.8,TRUE,TRUE,3,5,TRUE,TRUE,"pkg.metagenomeSeq.cov",0.653157894736842,0.635390070921986,102,0.616842105263158,0.877539898591453,95.84,160,19,0.315936328125,0.27699609375,0,100
"abundance",160,0.8,TRUE,TRUE,3,5,TRUE,TRUE,"pkg.metagenomeSeq.noAdj",0.818421052631579,0.336950354609929,63.06,0.744736842105263,0.67940295309283,46.63,160,19,0.315936328125,0.27699609375,0,100
"abundance",160,0.8,TRUE,TRUE,3,5,TRUE,TRUE,"pkg.ZINQ.cov",0.897894736842105,0.0983687943262411,30.93,0.673157894736842,0.142020498893951,15.06,160,19,0.315936328125,0.27699609375,0,100
"abundance",160,0.8,TRUE,TRUE,3,5,TRUE,TRUE,"pkg.ZINQ.depth",0.662631578947368,0.168085106382979,36.29,0.339473684210526,0.27844373746228,10.3,160,19,0.315936328125,0.27699609375,0,100
"abundance",160,0.8,TRUE,TRUE,3,5,TRUE,TRUE,"pkg.ZINQ.depthCov",0.683684210526316,0.0543971631205674,20.66,0.198947368421053,0.0336356421356421,3.99,160,19,0.315936328125,0.27699609375,0,100
"abundance",160,0.8,TRUE,TRUE,3,5,TRUE,TRUE,"pkg.ZINQ.noAdjust",0.801578947368421,0.332624113475177,62.13,0.713157894736842,0.627422815733546,39.38,160,19,0.315936328125,0.27699609375,0,100
"abundance",160,0.8,TRUE,TRUE,3,5,TRUE,TRUE,"presence(Fisher)",0.166842105263158,0.164042553191489,26.3,0.0410526315789474,0.750372105835341,5.19,160,19,0.315936328125,0.27699609375,0.16,100
"abundance",160,0.8,TRUE,TRUE,3,5,TRUE,TRUE,"presence(logistic+depth)",0.139473684210526,0.0997872340425532,16.72,0.00263157894736842,0.121666666666667,0.3,160,19,0.315936328125,0.27699609375,0,100
"abundance",160,0.8,TRUE,TRUE,3,5,TRUE,TRUE,"presence(logistic+depth+z)",0.0831578947368421,0.0468794326241135,8.19,0,0.01,0.01,160,19,0.315936328125,0.27699609375,0,100
"abundance",160,0.8,TRUE,TRUE,3,5,TRUE,TRUE,"prevalence(Tobit).adj",0.105789473684211,0.0535460992907801,9.56,0.00157894736842105,0.05,0.09,160,19,0.315936328125,0.27699609375,0,100
"abundance",160,0.8,TRUE,TRUE,3,5,TRUE,TRUE,"prevalence(Tobit).noAdj",0.246842105263158,0.17,28.66,0.0594736842105263,0.582408369408369,4.38,160,19,0.315936328125,0.27699609375,0,100
"abundance",160,1.2,FALSE,TRUE,3,5,TRUE,TRUE,"abundance(AHC-LinDA).adj",0.947894736842105,0.0525531914893617,25.42,0.827368421052632,0.0586658142339257,16.78,160,19,0.31667890625,0.276090234375,0,100
"abundance",160,1.2,FALSE,TRUE,3,5,TRUE,TRUE,"abundance(AHC-LinDA).noAdj",0.932105263157895,0.0559574468085106,25.6,0.776842105263158,0.0617070404225977,15.81,160,19,0.31667890625,0.276090234375,0,100
"abundance",160,1.2,FALSE,TRUE,3,5,TRUE,TRUE,"obsTwo.depthCov",0.956842105263158,0.0631914893617021,27.09,0.858947368421053,0.0585806365289337,17.42,160,19,0.31667890625,0.276090234375,0,100
"abundance",160,1.2,FALSE,TRUE,3,5,TRUE,TRUE,"obsTwo.simple",0.824736842105263,0.119787234042553,32.56,0.814736842105263,0.206947652911813,20.03,160,19,0.31667890625,0.276090234375,0,100
"abundance",160,1.2,FALSE,TRUE,3,5,TRUE,TRUE,"OMNIBUS(ACAT).adj",0.937368421052632,0.0570212765957447,25.85,0.800526315789474,0.0572900377056724,16.19,160,19,0.31667890625,0.276090234375,0,100
"abundance",160,1.2,FALSE,TRUE,3,5,TRUE,TRUE,"OMNIBUS(ACAT).noAdj",0.930526315789474,0.0602127659574468,26.17,0.766315789473684,0.0604858471851506,15.56,160,19,0.31667890625,0.276090234375,0,100
"abundance",160,1.2,FALSE,TRUE,3,5,TRUE,TRUE,"OMNIBUS(Bonf-minP).adj",0.937368421052632,0.0554609929078014,25.63,0.796315789473684,0.05715890104048,16.11,160,19,0.31667890625,0.276090234375,0,100
"abundance",160,1.2,FALSE,TRUE,3,5,TRUE,TRUE,"OMNIBUS(Bonf-minP).noAdj",0.926842105263158,0.0597163120567376,26.03,0.759473684210526,0.0588842588440111,15.39,160,19,0.31667890625,0.276090234375,0,100
"abundance",160,1.2,FALSE,TRUE,3,5,TRUE,TRUE,"oracle.prev.cov",0.0457894736842105,0.0453900709219858,7.27,0,0.02,0.03,160,19,0.31667890625,0.276090234375,0,100
"abundance",160,1.2,FALSE,TRUE,3,5,TRUE,TRUE,"oracle.prev.noAdj",0.0284210526315789,0.0312056737588653,4.94,0,0.02,0.03,160,19,0.31667890625,0.276090234375,0.44,100
"abundance",160,1.2,FALSE,TRUE,3,5,TRUE,TRUE,"pkg.ANCOMBC.cov",0.998947368421053,0.0960283687943263,32.52,0.998421052631579,0.161654313234862,22.85,160,19,0.31667890625,0.276090234375,0,100
"abundance",160,1.2,FALSE,TRUE,3,5,TRUE,TRUE,"pkg.ANCOMBC.noAdj",0.998947368421053,0.098936170212766,32.93,0.997368421052632,0.166390216427265,22.96,160,19,0.31667890625,0.276090234375,0,100
"abundance",160,1.2,FALSE,TRUE,3,5,TRUE,TRUE,"pkg.DESeq2.cov",0.985789473684211,0.0414893617021277,24.58,0.938421052631579,0.0329288975558325,18.47,160,19,0.31667890625,0.276090234375,0,100
"abundance",160,1.2,FALSE,TRUE,3,5,TRUE,TRUE,"pkg.DESeq2.noAdj",0.982631578947369,0.045886524822695,25.14,0.931578947368421,0.0446670916372929,18.57,160,19,0.31667890625,0.276090234375,0,100
"abundance",160,1.2,FALSE,TRUE,3,5,TRUE,TRUE,"pkg.edgeR.cov",0.990526315789474,0.0416312056737589,24.69,0.955263157894737,0.0341109977338137,18.84,160,19,0.31667890625,0.276090234375,0,100
"abundance",160,1.2,FALSE,TRUE,3,5,TRUE,TRUE,"pkg.edgeR.noAdj",0.987368421052632,0.0485815602836879,25.61,0.956315789473684,0.0469673241704975,19.11,160,19,0.31667890625,0.276090234375,0,100
"abundance",160,1.2,FALSE,TRUE,3,5,TRUE,TRUE,"pkg.metagenomeSeq.cov",0.651052631578947,0.660354609929078,105.48,0.616315789473684,0.883196016419268,100.29,160,19,0.31667890625,0.276090234375,0,100
"abundance",160,1.2,FALSE,TRUE,3,5,TRUE,TRUE,"pkg.metagenomeSeq.noAdj",0.981578947368421,0.165460992907801,41.98,0.96421052631579,0.295642726216304,26.79,160,19,0.31667890625,0.276090234375,0,100
"abundance",160,1.2,FALSE,TRUE,3,5,TRUE,TRUE,"pkg.ZINQ.cov",0.995789473684211,0.142127659574468,38.96,0.981052631578948,0.216113157964943,24.28,160,19,0.31667890625,0.276090234375,0,100
"abundance",160,1.2,FALSE,TRUE,3,5,TRUE,TRUE,"pkg.ZINQ.depth",0.915263157894737,0.0653900709219858,26.61,0.689473684210526,0.0606859191290306,14.05,160,19,0.31667890625,0.276090234375,0,100
"abundance",160,1.2,FALSE,TRUE,3,5,TRUE,TRUE,"pkg.ZINQ.depthCov",0.931052631578947,0.0660283687943262,27,0.75,0.0560180153953374,15.19,160,19,0.31667890625,0.276090234375,0,100
"abundance",160,1.2,FALSE,TRUE,3,5,TRUE,TRUE,"pkg.ZINQ.noAdjust",0.933684210526316,0.135390070921986,36.83,0.912631578947368,0.212832370119207,22.52,160,19,0.31667890625,0.276090234375,0,100
