"Method","Unconfounded: n = 80","Confounded: n = 80","Unconfounded: n = 160","Confounded: n = 160","Unconfounded: n = 320","Confounded: n = 320"
"DASH (Bonf-minP)",0.0507,0.0506,0.0552,0.0528,0.0643,0.0587
"DASH (Cauchy)",0.0527,0.0509,0.0555,0.0549,0.0658,0.0599
"ZINQ",0.0504,0.0536,0.0526,0.0509,0.0538,0.0517
"ANCOM-BC2",0.1018,0.1174,0.1133,0.1164,0.1561,0.1476
"DESeq2",0.0391,0.0348,0.0381,0.0367,0.0498,0.0452
"edgeR",0.0351,0.0321,0.0389,0.0349,0.0529,0.0494
"metagenomeSeq",0.5506,0.5161,0.6672,0.64,0.7614,0.7345
