"dataset","dataset_label","replicate","scenario","method","n_taxa","n_available","availability_rate","n_rejections","type1_error"
"MetaCardis_2020_a","MetaCardis_2020_a",1,"balanced","DASRA",30,30,1,0,0
"MetaCardis_2020_a","MetaCardis_2020_a",1,"balanced","ZINQ Cauchy",30,30,1,1,0.0333333333333333
"MetaCardis_2020_a","MetaCardis_2020_a",1,"balanced","MaAsLin3 joint",30,29,0.966666666666667,0,0
"MetaCardis_2020_a","MetaCardis_2020_a",1,"fourfold","DASRA",30,30,1,0,0
"MetaCardis_2020_a","MetaCardis_2020_a",1,"fourfold","ZINQ Cauchy",30,30,1,0,0
"MetaCardis_2020_a","MetaCardis_2020_a",1,"fourfold","MaAsLin3 joint",30,29,0.966666666666667,0,0
"MetaCardis_2020_a","MetaCardis_2020_a",1,"sixfold","DASRA",30,29,0.966666666666667,1,0.0333333333333333
"MetaCardis_2020_a","MetaCardis_2020_a",1,"sixfold","ZINQ Cauchy",30,30,1,2,0.0666666666666667
"MetaCardis_2020_a","MetaCardis_2020_a",1,"sixfold","MaAsLin3 joint",30,28,0.933333333333333,3,0.1
