"scenario","n","effect","confounded","depth_confound","m_min","m_abund","abund_logN_adjusted","abund_HC3_t","method","raw_power","raw_fpr","raw_nrej","bh_power","bh_fdr","bh_nrej","nFeat","nSignal","obsZero","structZero","n_na_p","n_rep"
"abundance",160,0.8,FALSE,TRUE,3,5,TRUE,TRUE,"DASH.abund.adj",0.185007974481659,0.0273170368443997,5.90909090909091,0.0292397660818713,0.0555555555555556,0.696969696969697,106.79797979798,19,0.785423540479592,0.769490715803767,0,99
"abundance",160,0.8,FALSE,TRUE,3,5,TRUE,TRUE,"DASH.abund.noCov",0.185007974481659,0.0267079708206845,5.84848484848485,0.0260499734183945,0.0303030303030303,0.565656565656566,106.79797979798,19,0.785423540479592,0.769490715803767,0,99
"abundance",160,0.8,FALSE,TRUE,3,5,TRUE,TRUE,"DASH.ACAT.adj",0.166400850611377,0.0485270998616566,7.43434343434343,0.0207336523125997,0.0471380471380471,0.494949494949495,106.79797979798,19,0.785423540479592,0.769490715803767,0,99
"abundance",160,0.8,FALSE,TRUE,3,5,TRUE,TRUE,"DASH.ACAT.noCov",0.172248803827751,0.0544199344972221,8.03030303030303,0.0217969165337586,0.034006734006734,0.494949494949495,106.79797979798,19,0.785423540479592,0.769490715803767,0,99
"abundance",160,0.8,FALSE,TRUE,3,5,TRUE,TRUE,"DASH.BonfminP.adj",0.158958001063264,0.0484007557999969,7.28282828282828,0.0207336523125997,0.0471380471380471,0.494949494949495,106.79797979798,19,0.785423540479592,0.769490715803767,0,99
"abundance",160,0.8,FALSE,TRUE,3,5,TRUE,TRUE,"DASH.BonfminP.noCov",0.166400850611377,0.0548253105636621,7.96969696969697,0.0212652844231792,0.0345117845117845,0.484848484848485,106.79797979798,19,0.785423540479592,0.769490715803767,0,99
"abundance",160,0.8,FALSE,TRUE,3,5,TRUE,TRUE,"DASH.prev.adj",0.0717703349282297,0.0463424831028477,5.44444444444444,0.00106326422115896,0.0202020202020202,0.0404040404040404,106.79797979798,19,0.785423540479592,0.769490715803767,0,99
"abundance",160,0.8,FALSE,TRUE,3,5,TRUE,TRUE,"DASH.prev.noCov",0.0707070707070707,0.0518426441456035,5.87878787878788,0.00159489633173844,0.0101010101010101,0.0404040404040404,106.79797979798,19,0.785423540479592,0.769490715803767,0,99
"abundance",160,0.8,FALSE,TRUE,3,5,TRUE,TRUE,"obsTwo.depthCov",0.182349813928761,0.033127319735819,6.38383838383838,0.013290802764487,0.0538720538720539,0.323232323232323,106.79797979798,19,0.785423540479592,0.769490715803767,0,99
"abundance",160,0.8,FALSE,TRUE,3,5,TRUE,TRUE,"obsTwo.simple",0.175438596491228,0.0197946400212241,5.09090909090909,0.0186071238702818,0.0202020202020202,0.373737373737374,106.79797979798,19,0.785423540479592,0.769490715803767,0,99
"abundance",160,0.8,FALSE,TRUE,3,5,TRUE,TRUE,"oracle.prev.cov",0.0430622009569378,0.0294028933080636,3.39393939393939,0,0,0,106.79797979798,19,0.785423540479592,0.769490715803767,0,99
